CommitID,filename,token_count,change_type,loc,lloc,sloc,comments,multi,blank,code_comment,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
5992a8ef21424d7571305a8d7e2a3431ee7e1e23,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/package_infinite_recursion/__init__.pyi,685,ModificationType.ADD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5992a8ef21424d7571305a8d7e2a3431ee7e1e23,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/package_infinite_recursion/tests/__init__.py,685,ModificationType.ADD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5992a8ef21424d7571305a8d7e2a3431ee7e1e23,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/collect_init_tests/tests/__init__.py,685,ModificationType.ADD,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5992a8ef21424d7571305a8d7e2a3431ee7e1e23,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/collect/package_init_given_as_arg/pkg/__init__.py,685,ModificationType.ADD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5992a8ef21424d7571305a8d7e2a3431ee7e1e23,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/conftest_usageerror/__init__.pyi,685,ModificationType.ADD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5992a8ef21424d7571305a8d7e2a3431ee7e1e23,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/marks/marks_considered_keywords/__init__.pyi,685,ModificationType.ADD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5992a8ef21424d7571305a8d7e2a3431ee7e1e23,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/config/collect_pytest_prefix/__init__.pyi,685,ModificationType.ADD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5992a8ef21424d7571305a8d7e2a3431ee7e1e23,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/issue88_initial_file_multinodes/__init__.pyi,685,ModificationType.ADD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5992a8ef21424d7571305a8d7e2a3431ee7e1e23,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/__init__.pyi,685,ModificationType.ADD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5992a8ef21424d7571305a8d7e2a3431ee7e1e23,/Users/sanika/Downloads/Master Thesis/repo_updated/pytest/testing/example_scripts/fixtures/fill_fixtures/test_extend_fixture_conftest_conftest/pkg/__init__.py,685,ModificationType.ADD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
